name,version,directory,repository,summary,from package.json,from license,from readme
JSONStream,1.0.4,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/JSONStream,http://github.com/dominictarr/JSONStream,(MIT OR Apache-2.0);MIT,(MIT OR Apache-2.0),MIT,MIT
abbrev,1.0.7,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/npmconf/node_modules/nopt/node_modules/abbrev,git+ssh://git@github.com/isaacs/abbrev-js,ISC,ISC,ISC,
accepts,1.2.12,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/express/node_modules/accepts,git+https://github.com/jshttp/accepts,MIT,MIT,MIT,
acorn,1.2.2,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/browserify/node_modules/syntax-error/node_modules/acorn,git+https://github.com/marijnh/acorn,MIT,MIT,,
align-text,0.1.3,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/yargs/node_modules/cliui/node_modules/right-align/node_modules/align-text,http://github.com/jonschlinkert/align-text,MIT,MIT,MIT,MIT
alter,0.2.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/babelify/node_modules/babel-core/node_modules/regenerator/node_modules/defs/node_modules/alter,git+https://github.com/olov/alter,MIT,MIT,,
amdefine,1.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-minify-css/node_modules/vinyl-sourcemaps-apply/node_modules/source-map/node_modules/amdefine,git+https://github.com/jrburke/amdefine,BSD;BSD-3-Clause AND MIT;MIT,BSD-3-Clause AND MIT,BSD;MIT,BSD
ansi,0.3.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-sass/node_modules/node-sass/node_modules/pangyp/node_modules/npmlog/node_modules/ansi,http://github.com/TooTallNate/ansi.js,MIT,,,MIT
ansi-green,0.1.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/watchify/node_modules/anymatch/node_modules/micromatch/node_modules/extglob/node_modules/ansi-green,git+https://github.com/jonschlinkert/ansi-green,MIT,MIT,MIT,MIT
ansi-regex,2.0.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-util/node_modules/chalk/node_modules/has-ansi/node_modules/ansi-regex,git+https://github.com/sindresorhus/ansi-regex,MIT,MIT,MIT,MIT
ansi-regex,1.1.1,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/eslint/node_modules/inquirer/node_modules/readline2/node_modules/strip-ansi/node_modules/ansi-regex,git+https://github.com/sindresorhus/ansi-regex,MIT,MIT,MIT,MIT
ansi-styles,2.1.0,/Users/dzdrazil/work/random_tests/redux-universal/node_modules/gulp-util/node_modules/chalk/node_modules/ansi-styles,git+https://github.com/chalk/ansi-styles,MIT,MIT,MIT,MIT
